frame,annotation,activity
0,40,
1,40,
2,40,
3,40,
4,40,
5,40,
6,40,
7,40,
8,40,
9,40,
10,40,
11,40,
12,40,
13,40,
14,40,
15,40,
16,40,
17,40,
18,40,
19,40,
20,40,
21,40,
22,40,
23,40,
24,40,
25,40,
26,40,
27,40,
28,40,
29,40,
30,40,
31,40,
32,40,
33,40,
34,40,
35,40,
36,40,
37,40,
38,40,
39,40,
40,40,
41,40,
42,40,
43,40,
44,40,
45,40,
46,40,
47,40,
48,40,
49,40,
50,40,
51,40,
52,40,
53,40,
54,40,
55,40,
56,40,
57,40,
58,2,closing_door_outside
59,2,closing_door_outside
60,2,closing_door_outside
61,2,closing_door_outside
62,2,closing_door_outside
63,2,closing_door_outside
64,2,closing_door_outside
65,2,closing_door_outside
66,2,closing_door_outside
67,2,closing_door_outside
68,2,closing_door_outside
69,2,closing_door_outside
70,2,closing_door_outside
71,2,closing_door_outside
72,2,closing_door_outside
73,2,closing_door_outside
74,2,closing_door_outside
75,2,closing_door_outside
76,2,closing_door_outside
77,2,closing_door_outside
78,2,closing_door_outside
79,2,closing_door_outside
80,2,closing_door_outside
81,2,closing_door_outside
82,2,closing_door_outside
83,40,
84,40,
85,40,
86,40,
87,40,
88,40,
89,40,
90,40,
91,40,
92,40,
93,40,
94,40,
95,40,
96,40,
97,40,
98,40,
99,40,
100,40,
101,40,
102,15,opening_door_outside
103,15,opening_door_outside
104,15,opening_door_outside
105,15,opening_door_outside
106,15,opening_door_outside
107,15,opening_door_outside
108,15,opening_door_outside
109,15,opening_door_outside
110,15,opening_door_outside
111,15,opening_door_outside
112,15,opening_door_outside
113,15,opening_door_outside
114,15,opening_door_outside
115,15,opening_door_outside
116,15,opening_door_outside
117,15,opening_door_outside
118,15,opening_door_outside
119,15,opening_door_outside
120,15,opening_door_outside
121,15,opening_door_outside
122,15,opening_door_outside
123,15,opening_door_outside
124,15,opening_door_outside
125,15,opening_door_outside
126,15,opening_door_outside
127,15,opening_door_outside
128,15,opening_door_outside
129,15,opening_door_outside
130,15,opening_door_outside
130,6,entering_car
131,6,entering_car
132,6,entering_car
133,6,entering_car
134,6,entering_car
135,6,entering_car
136,6,entering_car
137,6,entering_car
138,6,entering_car
